Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date,ObjectId
FerryHD,Halifax to Dartmouth,1278,2018.06.24 - 2018.06.30,6/24/2018 10:00:00 AM,207
FerryHW,Halifax to Woodside,0,2018.06.24 - 2018.06.30,6/24/2018 10:00:00 AM,208
FerryWH,Woodside to Halifax,0,2018.06.24 - 2018.06.30,6/24/2018 10:00:00 AM,209
FerryDH,Dartmouth to Halifax,1094,2018.06.24 - 2018.06.30,6/25/2018 10:00:00 AM,210
FerryHD,Halifax to Dartmouth,1203,2018.06.24 - 2018.06.30,6/25/2018 10:00:00 AM,211
FerryHW,Halifax to Woodside,996,2018.06.24 - 2018.06.30,6/25/2018 10:00:00 AM,212
FerryWH,Woodside to Halifax,913,2018.06.24 - 2018.06.30,6/25/2018 10:00:00 AM,213
FerryDH,Dartmouth to Halifax,2658,2018.06.24 - 2018.06.30,6/26/2018 10:00:00 AM,214
FerryHD,Halifax to Dartmouth,2523,2018.06.24 - 2018.06.30,6/26/2018 10:00:00 AM,215
FerryHW,Halifax to Woodside,1192,2018.06.24 - 2018.06.30,6/26/2018 10:00:00 AM,216
FerryWH,Woodside to Halifax,1201,2018.06.24 - 2018.06.30,6/26/2018 10:00:00 AM,217
FerryDH,Dartmouth to Halifax,2766,2018.06.24 - 2018.06.30,6/27/2018 10:00:00 AM,218
FerryHD,Halifax to Dartmouth,2726,2018.06.24 - 2018.06.30,6/27/2018 10:00:00 AM,219
FerryHW,Halifax to Woodside,1174,2018.06.24 - 2018.06.30,6/27/2018 10:00:00 AM,220
FerryWH,Woodside to Halifax,1268,2018.06.24 - 2018.06.30,6/27/2018 10:00:00 AM,221
FerryDH,Dartmouth to Halifax,2372,2018.06.24 - 2018.06.30,6/28/2018 10:00:00 AM,222
FerryHD,Halifax to Dartmouth,2534,2018.06.24 - 2018.06.30,6/28/2018 10:00:00 AM,223
FerryHW,Halifax to Woodside,1117,2018.06.24 - 2018.06.30,6/28/2018 10:00:00 AM,224
FerryWH,Woodside to Halifax,1037,2018.06.24 - 2018.06.30,6/28/2018 10:00:00 AM,225
FerryDH,Dartmouth to Halifax,2449,2018.06.24 - 2018.06.30,6/29/2018 10:00:00 AM,226
FerryHD,Halifax to Dartmouth,2648,2018.06.24 - 2018.06.30,6/29/2018 10:00:00 AM,227
FerryHW,Halifax to Woodside,1057,2018.06.24 - 2018.06.30,6/29/2018 10:00:00 AM,228
FerryWH,Woodside to Halifax,1181,2018.06.24 - 2018.06.30,6/29/2018 10:00:00 AM,229
FerryDH,Dartmouth to Halifax,5594,2018.06.24 - 2018.06.30,6/30/2018 10:00:00 AM,230
FerryHD,Halifax to Dartmouth,4995,2018.06.24 - 2018.06.30,6/30/2018 10:00:00 AM,231
FerryHW,Halifax to Woodside,0,2018.06.24 - 2018.06.30,6/30/2018 10:00:00 AM,232
FerryWH,Woodside to Halifax,0,2018.06.24 - 2018.06.30,6/30/2018 10:00:00 AM,233
FerryDH,Dartmouth to Halifax,13720,2018.07.01 - 2018.07.07,7/1/2018 10:00:00 AM,234
FerryHD,Halifax to Dartmouth,12770,2018.07.01 - 2018.07.07,7/1/2018 10:00:00 AM,235
FerryHW,Halifax to Woodside,0,2018.07.01 - 2018.07.07,7/1/2018 10:00:00 AM,236
FerryWH,Woodside to Halifax,0,2018.07.01 - 2018.07.07,7/1/2018 10:00:00 AM,237
FerryDH,Dartmouth to Halifax,2172,2018.07.01 - 2018.07.07,7/2/2018 10:00:00 AM,238
FerryHD,Halifax to Dartmouth,2166,2018.07.01 - 2018.07.07,7/2/2018 10:00:00 AM,239
FerryHW,Halifax to Woodside,285,2018.07.01 - 2018.07.07,7/2/2018 10:00:00 AM,240
FerryWH,Woodside to Halifax,274,2018.07.01 - 2018.07.07,7/2/2018 10:00:00 AM,241
FerryDH,Dartmouth to Halifax,2352,2018.07.01 - 2018.07.07,7/3/2018 10:00:00 AM,242
FerryHD,Halifax to Dartmouth,2406,2018.07.01 - 2018.07.07,7/3/2018 10:00:00 AM,243
FerryHW,Halifax to Woodside,1185,2018.07.01 - 2018.07.07,7/3/2018 10:00:00 AM,244
FerryWH,Woodside to Halifax,1121,2018.07.01 - 2018.07.07,7/3/2018 10:00:00 AM,245
FerryDH,Dartmouth to Halifax,2553,2018.07.01 - 2018.07.07,7/4/2018 10:00:00 AM,246
FerryHD,Halifax to Dartmouth,2647,2018.07.01 - 2018.07.07,7/4/2018 10:00:00 AM,247
FerryHW,Halifax to Woodside,1207,2018.07.01 - 2018.07.07,7/4/2018 10:00:00 AM,248
FerryWH,Woodside to Halifax,1199,2018.07.01 - 2018.07.07,7/4/2018 10:00:00 AM,249
FerryDH,Dartmouth to Halifax,2621,2018.07.01 - 2018.07.07,7/5/2018 10:00:00 AM,250
FerryHD,Halifax to Dartmouth,2587,2018.07.01 - 2018.07.07,7/5/2018 10:00:00 AM,251
FerryHW,Halifax to Woodside,1167,2018.07.01 - 2018.07.07,7/5/2018 10:00:00 AM,252
FerryWH,Woodside to Halifax,1129,2018.07.01 - 2018.07.07,7/5/2018 10:00:00 AM,253
FerryDH,Dartmouth to Halifax,2104,2018.07.01 - 2018.07.07,7/6/2018 10:00:00 AM,254
FerryHD,Halifax to Dartmouth,1956,2018.07.01 - 2018.07.07,7/6/2018 10:00:00 AM,255
